Text;finals;last_word
Та й всьо чарівниці.;ці;чарівни^ці
ОЙ ВІЗЬМУ Я; я;візьму^я
Ой візьму я; я;візьму^я
Свиту на опашки;ки;опа^шки
Та й піду я; я;піду^я
До дівчини трошки.;ки;тро^шки
Ой прийшов я; я;прийшо^вя
Під нові ворота,;та;воро^та
Зносит мене;не;ме^не
До сіней охота.;та;охо^та
[Ой підхожу;жу;підхо^жу
Під новії сіни,];ни;сі^ни
Мало ж мене;не;ме^не
Собаки не ззілі.;лі;ззі^лі
Ой ввійшов я; я;ввійшо^вя
Та з сіней до хати:;ти;ха^ти
– Чо’ не вийшла;ла;ви^йшла
Собаки нагнати?;ти;нагна^ти
– Як ти їли, –;и ;ї^ли
Най би були ззіли, –;и ;ззі^ли
В мене кращі;щі;кра^щі
Лавочки засіли.;ли;засі^ли
Посуньтеся,;ся;посуньте^ся
Кудрявці, по лавці,;ці;ла^вці
Най сідають;ть;сіда^ють
Давні закоханці.;ці;закоха^нці
– Тогди-с мене,;не;ме^не
Дівчинонько, кохала,;ла;коха^ла
Як від мене;не;ме^не
Подарунки барала.;ла;бара^ла
– Подай, сестро,;ро;се^стро
Ключі золотії,;ії;золоті^ї
Най ’му кину;ну;ки^ну
Подарунки тії.;ії;ті^ї
Подай, сестро,;ро;се^стро
Золотії ключі,;чі;клю^чі
Най ’му кину;ну;ки^ну
Подарунки в вічі.;чі;ві^чі
ОЙ ВІДЧИНИ;ни;відчи^ни
– Ой відчини,;ни;відчи^ни
Ганусю, ворота,;та;воро^та
Несе мене;не;ме^не
До тебе охота.;та;охо^та
Ой відчини,;ни;відчи^ни
Ганусю, стаєнку,;ку;стає^нку
Най я свого;го;сво^го
Коника поставлю.;лю;поста^влю
– Не для того;го;то^го
Батько стайню ставив,;ив;ста^вив
Щоб ти свого;го;сво^го
Коника поставив,;ив;поста^вив
– Ой відчини,;ни;відчи^ни
Ганусенько, сіни.;ни;сі^ни
– Йа вже в мене;не;ме^не
Краще тебе сіли.;ли;сі^ли
– Ой відчини,;ни;відчи^ни
Ганусенько, двері,;рі;две^рі
Най я гляну,;ну;гля^ну
Чи краще від мене.;не;ме^не
Не вспів же я; я;же^я
Через поріг влізти,;ти;влі^зти
Дают мені;ні;ме^ні
Кріселочко сісти.;ти;сі^сти
Не вспів же я; я;же^я
На крісельце сісти,;ти;сі^сти
Дают мені;ні;ме^ні
Перепілку їсти.;ти;ї^сти
Не з’їв же я; я;же^я
Півкрильця-реберця,;ця;півкрильцяребе^рця
Стиснуло ня;ня;стиснуло^ня
Тяжко коло серця.;ця;се^рця
Ой як козак;ак;ко^зак
Та й води напився,;ся;напи^вся
Назад в сіни;ни;сі^ни
Та й повалився.;ся;повали^вся
Назад в сіни;ни;сі^ни
Та й повалився,;ся;повали^вся
А дівчина через вікно;но;ві^кно
З козака сміється.;ся;сміє^ться
– Ой не смійся,;ся;смі^йся
Дівчинонько, з мене,;не;ме^не
Вже-м наївся;ся;наї^вся
Чароньків йу тебе.;бе;те^бе
ОЙ ОРАВ Я; я;ора^вя
Ой орав я; я;ора^вя
В калиновім лузі;зі;лу^зі
Та й виломив;ив;ви^ломив
Поличеньку в плузі.;зі;плу^зі
Сам не знаю,;аю;зна^ю
Шо робити маю,;аю;ма^ю
Сам не знаю,;аю;зна^ю
Шо робити маю.;аю;ма^ю
Чи до плуга;га;плу^га
Полицю тесати,;ти;теса^ти
Чи до дівки;ки;ді^вки
На всю ніч манджати?;ти;манджа^ти
Ой озму я; я;озму^я
Свиту на (г)опашки;ки;гопа^шки
Та й піду я; я;піду^я
До дівчини трошки.;ки;тро^шки
Прийшов же я; я;же^я
На її подвір’я,;ря;подві^ря
Мало ж мене;не;ме^не
Собаки не з’їли.;ли;зї^ли
Вийшла ж вона;на;во^на
Від псів боронити;ти;борони^ти
Та й зачала;ла;зача^ла
Ше гірше й травити:;ти;трави^ти
– Гуджя, гуджя,;жя;гу^джя
Лихії собаки,;ки;соба^ки
Та й відженіт;іт;відже^ніт
Нелюба й від хати.;ти;ха^ти
Гуджя, гуджя,;жя;гу^джя
Нехай тебе з’їдят,;ят;зї^дят
Бо у мене;не;ме^не
Старостоньки сидят.;ят;си^дят
– Ой відчини ж,; ж;відчи^ниж
Дівчиночко, двері,;рі;две^рі
Най подивлюс,;юс;поди^влюс
Чи кращий від мене.;не;ме^не
ОРАВ ЖЕ Я; я;же^я
|: Орав же я; я;же^я
В калиновім лузі, :|; |;лу^зі
|: Вломалася;ся;вломала^ся
Й паличенька в плузі. :|; |;плу^зі
(і) Сам не знаю,;аю;зна^ю
Шо робити маю,;аю;ма^ю
Сам не знаю,;аю;зна^ю
Шо робити маю.;аю;ма^ю
Чи палички,;ки;пали^чки
Палички шукати,;ти;шука^ти
Чи брати плужок на плечі,;чі;пле^чі
До дівчини манджати?;ти;манджа^ти
|: Несла ж мене;не;ме^не
До неї охота. :|; |;охо^та
Прийшов же я; я;же^я
Під біленькі стіни,;ни;сті^ни
Мало ж мене;не;ме^не
Собаки не з’їли.;ли;зї^ли
Вийшла мила,;ла;ми^ла
Буцім боронити,;ти;борони^ти
Вона стала;ла;ста^ла
Ше гірше травити:;ти;трави^ти
|: – Гуджя, гуджя,;жя;гу^джя
Най тя покусают. :|; |;покуса^ют
Війшов же я; я;же^я
З надворю до хати,;ти;ха^ти
Там не маю,;аю;ма^ю
Де ніжкою стати.;ти;ста^ти
– Розсунтеся,;ся;розсунте^ся
Кудрявці, по лавці,;ці;ла^вці
Нехай сяде;де;ся^де
Та й нелюб на лавці.;ці;ла^вці
– Як любила-с;ас;люби^лас
Подарунки брати,;ти;бра^ти
Тепер люби;би;лю^би
За гостя приймати.;ти;прийма^ти
– Ой є в мене;не;ме^не
Яма під порогом,;ом;поро^гом
Там я твої;ої;тво^ї
Подарунки склала.;ла;скла^ла
|: Подай, мати,;ти;ма^ти
Золотії ключі, :|; |;клю^чі
|: Нехай кину;ну;ки^ну
Подарунки в очі. :|; |;о^чі
ОЙ ГОРАВ Я; я;гора^я
Ой горав я; я;гора^я
В калиновім лузі;зі;лу^зі
Ой горав я; я;гора^я
В калиновім лузі;зі;лу^зі
Та вломав я; я;влома^вя
Поличеньку в плузі.;зі;плу^зі
Та вломав я; я;влома^вя
Поличеньку в плузі.;зі;плу^зі
Ой пішов я; я;пішо^вя
