Number of line;Title;Text
611;;Всі дівчата плачуть.
612;;
613;;Плачут дівки, плачут дівки,
614;;Плачут молодиці...
615;;На котору ни поглянеш, –
616;;Та й всьо чарівниці.
617;;На котору ни поглянеш, –
618;;Та й всьо чарівниці.
619;;
620;ОЙ ВІЗЬМУ Я;Ой візьму я
621;;Свиту на опашки
622;;Та й піду я
623;;До дівчини трошки.
624;;
625;;Ой прийшов я
626;;Під нові ворота,
627;;Зносит мене
628;;До сіней охота.
629;;
630;;[Ой підхожу
631;;Під новії сіни,]
632;;Мало ж мене
633;;Собаки не ззілі.
634;;
635;;Ой ввійшов я
636;;Та з сіней до хати:
637;;– Чо’ не вийшла
638;;Собаки нагнати?
639;;
640;;– Як ти їли, –
641;;Най би були ззіли, –
642;;В мене кращі
643;;Лавочки засіли.
644;;
645;;Посуньтеся,
646;;Кудрявці, по лавці,
647;;Най сідають
648;;Давні закоханці.
649;;
650;;– Тогди-с мене,
651;;Дівчинонько, кохала,
652;;Як від мене
653;;Подарунки барала.
654;;
655;;– Подай, сестро,
656;;Ключі золотії,
657;;Най ’му кину
658;;Подарунки тії.
659;;
660;;Подай, сестро,
661;;Золотії ключі,
662;;Най ’му кину
663;;Подарунки в вічі.
664;;
665;ОЙ ВІДЧИНИ;– Ой відчини,
666;;Ганусю, ворота,
667;;Несе мене
668;;До тебе охота.
669;;
670;;Ой відчини,
671;;Ганусю, стаєнку,
672;;Най я свого
673;;Коника поставлю.
674;;
675;;– Не для того
676;;Батько стайню ставив,
677;;Щоб ти свого
678;;Коника поставив,
679;;
680;;– Ой відчини,
681;;Ганусенько, сіни.
682;;– Йа вже в мене
683;;Краще тебе сіли.
684;;
685;;– Ой відчини,
686;;Ганусенько, двері,
687;;Най я гляну,
688;;Чи краще від мене.
689;;
690;;Не вспів же я
691;;Через поріг влізти,
692;;Дают мені
693;;Кріселочко сісти.
694;;
695;;Не вспів же я
696;;На крісельце сісти,
697;;Дают мені
698;;Перепілку їсти.
699;;
700;;Не з’їв же я
701;;Півкрильця-реберця,
702;;Стиснуло ня
703;;Тяжко коло серця.
704;;
705;;Ой як козак
706;;Та й води напився,
707;;Назад в сіни
708;;Та й повалився.
709;;
710;;Назад в сіни
711;;Та й повалився,
712;;А дівчина через вікно
713;;З козака сміється.
714;;
715;;– Ой не смійся,
716;;Дівчинонько, з мене,
717;;Вже-м наївся
718;;Чароньків йу тебе.
719;;
720;ОЙ ОРАВ Я;Ой орав я
721;;В калиновім лузі
722;;Та й виломив
723;;Поличеньку в плузі.
724;;
725;;Сам не знаю,
726;;Шо робити маю,
727;;Сам не знаю,
728;;Шо робити маю.
729;;
730;;Чи до плуга
731;;Полицю тесати,
732;;Чи до дівки
733;;На всю ніч манджати? 
734;;
735;;Ой озму я
736;;Свиту на (г)опашки
737;;Та й піду я
738;;До дівчини трошки.
739;;
740;;Прийшов же я
741;;На її подвір’я,
742;;Мало ж мене
743;;Собаки не з’їли.
744;;
745;;Вийшла ж вона
746;;Від псів боронити
747;;Та й зачала
748;;Ше гірше й травити:
749;;
750;;– Гуджя, гуджя,
751;;Лихії собаки,
752;;Та й відженіт
753;;Нелюба й від хати.
754;;
755;;Гуджя, гуджя,
756;;Нехай тебе з’їдят,
757;;Бо у мене
758;;Старостоньки сидят.
759;;
760;;– Ой відчини ж,
761;;Дівчиночко, двері,
762;;Най подивлюс,
763;;Чи кращий від мене.
764;;
765;ОРАВ ЖЕ Я;|: Орав же я
766;;В калиновім лузі, :|
767;;
768;;|: Вломалася
769;;Й паличенька в плузі. :|
770;;
771;;(і) Сам не знаю,
772;;Шо робити маю,
773;;Сам не знаю,
774;;Шо робити маю.
775;;
776;;Чи палички,
777;;Палички шукати,
778;;Чи брати плужок на плечі,
779;;До дівчини манджати?
780;;
781;;|: Несла ж мене
782;;До неї охота. :|
783;;
784;;Прийшов же я
785;;Під біленькі стіни,
786;;Мало ж мене
787;;Собаки не з’їли.
788;;
789;;Вийшла мила,
790;;Буцім боронити,
791;;Вона стала
792;;Ше гірше травити:
793;;
794;;|: – Гуджя, гуджя,
795;;Най тя покусают. :|
796;;
797;;Війшов же я
798;;З надворю до хати,
799;;Там не маю,
800;;Де ніжкою стати.
801;;
802;;– Розсунтеся,
803;;Кудрявці, по лавці,
804;;Нехай сяде
805;;Та й нелюб на лавці.
806;;
807;;– Як любила-с
808;;Подарунки брати,
809;;Тепер люби
810;;За гостя приймати.
811;;
812;;– Ой є в мене
813;;Яма під порогом,
814;;Там я твої
815;;Подарунки склала.
816;;
817;;|: Подай, мати,
818;;Золотії ключі, :|
819;;
820;;|: Нехай кину
821;;Подарунки в очі. :|
822;;
823;ОЙ ГОРАВ Я;Ой горав я
824;;В калиновім лузі
825;;Ой горав я
826;;В калиновім лузі
827;;
828;;Та вломав я
829;;Поличеньку в плузі.
830;;Та вломав я
831;;Поличеньку в плузі.
832;;
833;;Ой пішов я
834;;Полицю тесати,
835;;Ой пішов я
836;;Полицю тесати,
837;;
838;;Прийшов же я
839;;Пред біленькі сіни, 
840;;Прийшов же я
841;;Пред біленькі сіни, 
842;;
843;;Трохи ж мене
844;;Собаки не з’їли.
845;;Трохи ж мене
846;;Собаки не з’їли.
847;;
848;;Кличуть мене
849;;Молоді до хати,
850;;Кличуть мене
851;;Молоді до хати,
852;;
853;;Кажут міні
854;;На лівку сідати.
855;;Кажут міні
856;;На лівку сідати.
857;;
858;;– Розсуньтеся,
859;;Кудрявці, по лавці,
860;;– Розсуньтеся,
861;;Кудрявці, по лавці,
862;;
863;;Нехай сяду
864;;Замість закоханця.
